Source	Target	Species	Target Score	Target Description	SourceType	TargetType
miR-15b-5p	ARIH1	Human	99	ariadne RBR E3 ubiquitin protein ligase 1	miRNA	mRNA
miR-15b-5p	MGAT4A	Human	99	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	miRNA	mRNA
miR-15b-5p	EPHB2	Human	99	EPH receptor B2	miRNA	mRNA
miR-15b-5p	BTRC	Human	99	beta-transducin repeat containing E3 ubiquitin protein ligase	miRNA	mRNA
miR-15b-5p	SPRYD3	Human	99	SPRY domain containing 3	miRNA	mRNA
miR-15b-5p	ARL2	Human	99	ADP ribosylation factor like GTPase 2	miRNA	mRNA
miR-15b-5p	CASK	Human	99	calcium/calmodulin dependent serine protein kinase	miRNA	mRNA
miR-15b-5p	NUP50	Human	99	nucleoporin 50	miRNA	mRNA
miR-15b-5p	DCLK1	Human	99	doublecortin like kinase 1	miRNA	mRNA
miR-15b-5p	CYB561A3	Human	99	cytochrome b561 family member A3	miRNA	mRNA
miR-15b-5p	ZBTB46	Human	99	zinc finger and BTB domain containing 46	miRNA	mRNA
miR-15b-5p	FGF7	Human	99	fibroblast growth factor 7	miRNA	mRNA
miR-193b-3p	MAPK10	Human	99	mitogen-activated protein kinase 10	miRNA	mRNA
miR-199a-3p	KLHL3	Human	99	kelch like family member 3	miRNA	mRNA
miR-199a-3p	KATNBL1	Human	99	katanin regulatory subunit B1 like 1	miRNA	mRNA
miR-199a-3p	CELSR2	Human	99	cadherin EGF LAG seven-pass G-type receptor 2	miRNA	mRNA
miR-199a-3p	ITGA3	Human	99	integrin subunit alpha 3	miRNA	mRNA
miR-199a-3p	MAP3K4	Human	99	mitogen-activated protein kinase kinase kinase 4	miRNA	mRNA
miR-214-3p	LSM12	Human	99	LSM12 homolog	miRNA	mRNA
miR-214-3p	RC3H1	Human	99	ring finger and CCCH-type domains 1	miRNA	mRNA
miR-29c-3p	DOT1L	Human	99	DOT1 like histone lysine methyltransferase	miRNA	mRNA
miR-29c-3p	COL11A1	Human	99	collagen type XI alpha 1 chain	miRNA	mRNA
miR-29c-3p	DNMT3A	Human	99	DNA methyltransferase 3 alpha	miRNA	mRNA
miR-29c-3p	PI15	Human	99	peptidase inhibitor 15	miRNA	mRNA
miR-29c-3p	BRWD3	Human	99	bromodomain and WD repeat domain containing 3	miRNA	mRNA
miR-29c-3p	HAS3	Human	99	hyaluronan synthase 3	miRNA	mRNA
miR-29c-3p	NEXMIF	Human	99	neurite extension and migration factor	miRNA	mRNA
miR-29c-3p	NSD1	Human	99	nuclear receptor binding SET domain protein 1	miRNA	mRNA
miR-29c-3p	KMT5C	Human	99	lysine methyltransferase 5C	miRNA	mRNA
miR-29c-3p	NAV3	Human	99	neuron navigator 3	miRNA	mRNA
miR-29c-3p	NAV1	Human	99	neuron navigator 1	miRNA	mRNA
miR-29c-3p	ADAMTS9	Human	99	ADAM metallopeptidase with thrombospondin type 1 motif 9	miRNA	mRNA
miR-29c-3p	SESTD1	Human	99	SEC14 and spectrin domain containing 1	miRNA	mRNA
miR-140-3p	ACVR2B	Human	98	activin A receptor type 2B	miRNA	mRNA
miR-140-3p	NFYA	Human	98	nuclear transcription factor Y subunit alpha	miRNA	mRNA
miR-140-3p	PCDH17	Human	98	protocadherin 17	miRNA	mRNA
miR-140-3p	ZNF131	Human	98	zinc finger protein 131	miRNA	mRNA
miR-15b-5p	RECK	Human	98	reversion inducing cysteine rich protein with kazal motifs	miRNA	mRNA
miR-15b-5p	PLAG1	Human	98	PLAG1 zinc finger	miRNA	mRNA
miR-15b-5p	AXIN2	Human	98	axin 2	miRNA	mRNA
miR-15b-5p	GPR63	Human	98	G protein-coupled receptor 63	miRNA	mRNA
miR-15b-5p	SYNJ1	Human	98	synaptojanin 1	miRNA	mRNA
miR-15b-5p	ABL2	Human	98	ABL proto-oncogene 2, non-receptor tyrosine kinase	miRNA	mRNA
miR-15b-5p	SCN8A	Human	98	sodium voltage-gated channel alpha subunit 8	miRNA	mRNA
miR-15b-5p	CACNA1E	Human	98	calcium voltage-gated channel subunit alpha1 E	miRNA	mRNA
miR-15b-5p	PISD	Human	98	phosphatidylserine decarboxylase	miRNA	mRNA
miR-15b-5p	KCNJ2	Human	98	potassium voltage-gated channel subfamily J member 2	miRNA	mRNA
miR-15b-5p	C2orf42	Human	98	chromosome 2 open reading frame 42	miRNA	mRNA
miR-15b-5p	UBE2V1	Human	98	ubiquitin conjugating enzyme E2 V1	miRNA	mRNA
miR-15b-5p	SPRED1	Human	98	sprouty related EVH1 domain containing 1	miRNA	mRNA
miR-15b-5p	SREK1	Human	98	splicing regulatory glutamic acid and lysine rich protein 1	miRNA	mRNA
miR-15b-5p	TBL1XR1	Human	98	transducin beta like 1 X-linked receptor 1	miRNA	mRNA
miR-15b-5p	MTMR3	Human	98	myotubularin related protein 3	miRNA	mRNA
miR-15b-5p	TLK1	Human	98	tousled like kinase 1	miRNA	mRNA
miR-15b-5p	SLC11A2	Human	98	solute carrier family 11 member 2	miRNA	mRNA
miR-15b-5p	MOB3B	Human	98	MOB kinase activator 3B	miRNA	mRNA
miR-15b-5p	ZBTB44	Human	98	zinc finger and BTB domain containing 44	miRNA	mRNA
miR-15b-5p	ANO3	Human	98	anoctamin 3	miRNA	mRNA
miR-15b-5p	SLC9A6	Human	98	solute carrier family 9 member A6	miRNA	mRNA
miR-15b-5p	APLN	Human	98	apelin	miRNA	mRNA
miR-15b-5p	AKT3	Human	98	AKT serine/threonine kinase 3	miRNA	mRNA
miR-15b-5p	IPO7	Human	98	importin 7	miRNA	mRNA
miR-15b-5p	RASGEF1B	Human	98	RasGEF domain family member 1B	miRNA	mRNA
miR-15b-5p	ATG9A	Human	98	autophagy related 9A	miRNA	mRNA
miR-15b-5p	CPEB2	Human	98	cytoplasmic polyadenylation element binding protein 2	miRNA	mRNA
miR-15b-5p	AHCYL2	Human	98	adenosylhomocysteinase like 2	miRNA	mRNA
miR-15b-5p	MYB	Human	98	MYB proto-oncogene, transcription factor	miRNA	mRNA
miR-15b-5p	CCND2	Human	98	cyclin D2	miRNA	mRNA
miR-15b-5p	KIF5C	Human	98	kinesin family member 5C	miRNA	mRNA
miR-15b-5p	UBN2	Human	98	ubinuclein 2	miRNA	mRNA
miR-15b-5p	UBE4B	Human	98	ubiquitination factor E4B	miRNA	mRNA
miR-15b-5p	ARL3	Human	98	ADP ribosylation factor like GTPase 3	miRNA	mRNA
miR-193b-3p	PIGA	Human	98	phosphatidylinositol glycan anchor biosynthesis class A	miRNA	mRNA
miR-199a-3p	ETNK1	Human	98	ethanolamine kinase 1	miRNA	mRNA
miR-199a-3p	NID2	Human	98	nidogen 2	miRNA	mRNA
miR-199a-3p	NAA25	Human	98	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	miRNA	mRNA
miR-199a-3p	LRP2	Human	98	LDL receptor related protein 2	miRNA	mRNA
miR-214-3p	NAA15	Human	98	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	miRNA	mRNA
miR-214-3p	AMMECR1L	Human	98	AMMECR1 like	miRNA	mRNA
miR-214-3p	ZFAND3	Human	98	zinc finger AN1-type containing 3	miRNA	mRNA
miR-214-3p	NEO1	Human	98	neogenin 1	miRNA	mRNA
miR-214-3p	DOLPP1	Human	98	dolichyldiphosphatase 1	miRNA	mRNA
miR-214-3p	GSK3B	Human	98	glycogen synthase kinase 3 beta	miRNA	mRNA
miR-214-3p	MED19	Human	98	mediator complex subunit 19	miRNA	mRNA
miR-29c-3p	TMEM169	Human	98	transmembrane protein 169	miRNA	mRNA
miR-29c-3p	COL19A1	Human	98	collagen type XIX alpha 1 chain	miRNA	mRNA
miR-29c-3p	ADAMTS6	Human	98	ADAM metallopeptidase with thrombospondin type 1 motif 6	miRNA	mRNA
miR-29c-3p	SMS	Human	98	spermine synthase	miRNA	mRNA
miR-29c-3p	NAV2	Human	98	neuron navigator 2	miRNA	mRNA
miR-29c-3p	ERCC6	Human	98	ERCC excision repair 6, chromatin remodeling factor	miRNA	mRNA
miR-29c-3p	IGF1	Human	98	insulin like growth factor 1	miRNA	mRNA
miR-29c-3p	ZBTB34	Human	98	zinc finger and BTB domain containing 34	miRNA	mRNA
miR-29c-3p	COL4A1	Human	98	collagen type IV alpha 1 chain	miRNA	mRNA
miR-29c-3p	C1QTNF6	Human	98	C1q and TNF related 6	miRNA	mRNA
miR-29c-3p	AKT3	Human	98	AKT serine/threonine kinase 3	miRNA	mRNA
miR-29c-3p	NFIA	Human	98	nuclear factor I A	miRNA	mRNA
miR-29c-3p	COL1A1	Human	98	collagen type I alpha 1 chain	miRNA	mRNA
miR-29c-3p	TRIB2	Human	98	tribbles pseudokinase 2	miRNA	mRNA
miR-29c-3p	NASP	Human	98	nuclear autoantigenic sperm protein	miRNA	mRNA
miR-140-3p	GPR158	Human	97	G protein-coupled receptor 158	miRNA	mRNA
miR-140-3p	BACE1	Human	97	beta-secretase 1	miRNA	mRNA
miR-15b-5p	MAMSTR	Human	97	MEF2 activating motif and SAP domain containing transcriptional regulator	miRNA	mRNA
miR-15b-5p	RNF144B	Human	97	ring finger protein 144B	miRNA	mRNA
miR-15b-5p	CDCA4	Human	97	cell division cycle associated 4	miRNA	mRNA
miR-15b-5p	KDSR	Human	97	3-ketodihydrosphingosine reductase	miRNA	mRNA
miR-15b-5p	KIF23	Human	97	kinesin family member 23	miRNA	mRNA
miR-15b-5p	TFAP2A	Human	97	transcription factor AP-2 alpha	miRNA	mRNA
miR-15b-5p	PPM1E	Human	97	protein phosphatase, Mg2+/Mn2+ dependent 1E	miRNA	mRNA
miR-15b-5p	SHOC2	Human	97	SHOC2, leucine rich repeat scaffold protein	miRNA	mRNA
miR-15b-5p	HTR2A	Human	97	5-hydroxytryptamine receptor 2A	miRNA	mRNA
miR-15b-5p	LURAP1L	Human	97	leucine rich adaptor protein 1 like	miRNA	mRNA
miR-15b-5p	DMPK	Human	97	DM1 protein kinase	miRNA	mRNA
miR-15b-5p	RAB11FIP2	Human	97	RAB11 family interacting protein 2	miRNA	mRNA
miR-15b-5p	TMEM100	Human	97	transmembrane protein 100	miRNA	mRNA
miR-15b-5p	RASSF8	Human	97	Ras association domain family member 8	miRNA	mRNA
miR-15b-5p	FBXW7	Human	97	F-box and WD repeat domain containing 7	miRNA	mRNA
miR-15b-5p	DNAJB4	Human	97	DnaJ heat shock protein family (Hsp40) member B4	miRNA	mRNA
miR-15b-5p	GRM7	Human	97	glutamate metabotropic receptor 7	miRNA	mRNA
miR-15b-5p	WEE1	Human	97	WEE1 G2 checkpoint kinase	miRNA	mRNA
miR-15b-5p	STOX2	Human	97	storkhead box 2	miRNA	mRNA
miR-15b-5p	CYP26B1	Human	97	cytochrome P450 family 26 subfamily B member 1	miRNA	mRNA
miR-193b-3p	DCAF7	Human	97	DDB1 and CUL4 associated factor 7	miRNA	mRNA
miR-193b-3p	RAPGEF6	Human	97	Rap guanine nucleotide exchange factor 6	miRNA	mRNA
miR-199a-3p	NOVA1	Human	97	NOVA alternative splicing regulator 1	miRNA	mRNA
miR-199a-3p	GNA12	Human	97	G protein subunit alpha 12	miRNA	mRNA
miR-199a-3p	SERPINE2	Human	97	serpin family E member 2	miRNA	mRNA
miR-214-3p	DMXL2	Human	97	Dmx like 2	miRNA	mRNA
miR-214-3p	MFN2	Human	97	mitofusin 2	miRNA	mRNA
miR-214-3p	SEC24C	Human	97	SEC24 homolog C, COPII coat complex component	miRNA	mRNA
miR-214-5p	IQSEC3	Human	97	IQ motif and Sec7 domain 3	miRNA	mRNA
miR-214-5p	KLF12	Human	97	Kruppel like factor 12	miRNA	mRNA
miR-214-5p	TFDP1	Human	97	transcription factor Dp-1	miRNA	mRNA
miR-29c-3p	COL7A1	Human	97	collagen type VII alpha 1 chain	miRNA	mRNA
miR-29c-3p	KDM5B	Human	97	lysine demethylase 5B	miRNA	mRNA
miR-29c-3p	C16orf72	Human	97	chromosome 16 open reading frame 72	miRNA	mRNA
miR-29c-3p	DAAM2	Human	97	dishevelled associated activator of morphogenesis 2	miRNA	mRNA
miR-29c-3p	DIO2	Human	97	iodothyronine deiodinase 2	miRNA	mRNA
miR-29c-3p	TET2	Human	97	tet methylcytosine dioxygenase 2	miRNA	mRNA
miR-29c-3p	XKR6	Human	97	XK related 6	miRNA	mRNA
miR-29c-3p	SPARC	Human	97	secreted protein acidic and cysteine rich	miRNA	mRNA
miR-29c-3p	PURG	Human	97	purine rich element binding protein G	miRNA	mRNA
miR-29c-3p	PTEN	Human	97	phosphatase and tensin homolog	miRNA	mRNA
miR-29c-3p	ADAMTS17	Human	97	ADAM metallopeptidase with thrombospondin type 1 motif 17	miRNA	mRNA
miR-29c-3p	HIF3A	Human	97	hypoxia inducible factor 3 subunit alpha	miRNA	mRNA
miR-29c-3p	COL5A2	Human	97	collagen type V alpha 2 chain	miRNA	mRNA
miR-29c-3p	COL2A1	Human	97	collagen type II alpha 1 chain	miRNA	mRNA
miR-29c-3p	ZBTB5	Human	97	zinc finger and BTB domain containing 5	miRNA	mRNA
miR-140-3p	FAIM	Human	96	Fas apoptotic inhibitory molecule	miRNA	mRNA
miR-140-3p	TTYH3	Human	96	tweety family member 3	miRNA	mRNA
miR-15b-5p	N4BP1	Human	96	NEDD4 binding protein 1	miRNA	mRNA
miR-15b-5p	PLPP1	Human	96	phospholipid phosphatase 1	miRNA	mRNA
miR-15b-5p	ZNF691	Human	96	zinc finger protein 691	miRNA	mRNA
miR-15b-5p	ZCCHC3	Human	96	zinc finger CCHC-type containing 3	miRNA	mRNA
miR-15b-5p	ARMH4	Human	96	armadillo-like helical domain containing 4	miRNA	mRNA
miR-15b-5p	SALL4	Human	96	spalt like transcription factor 4	miRNA	mRNA
miR-15b-5p	TBPL1	Human	96	TATA-box binding protein like 1	miRNA	mRNA
miR-15b-5p	CFAP45	Human	96	cilia and flagella associated protein 45	miRNA	mRNA
miR-15b-5p	CNOT6L	Human	96	CCR4-NOT transcription complex subunit 6 like	miRNA	mRNA
miR-15b-5p	SEMA6D	Human	96	semaphorin 6D	miRNA	mRNA
miR-15b-5p	RFX3	Human	96	regulatory factor X3	miRNA	mRNA
miR-15b-5p	PCMT1	Human	96	protein-L-isoaspartate (D-aspartate) O-methyltransferase	miRNA	mRNA
miR-15b-5p	EDA	Human	96	ectodysplasin A	miRNA	mRNA
miR-15b-5p	SEC24A	Human	96	SEC24 homolog A, COPII coat complex component	miRNA	mRNA
miR-15b-5p	KLHL2	Human	96	kelch like family member 2	miRNA	mRNA
miR-15b-5p	PAFAH1B1	Human	96	platelet activating factor acetylhydrolase 1b regulatory subunit 1	miRNA	mRNA
miR-15b-5p	PTPN3	Human	96	protein tyrosine phosphatase, non-receptor type 3	miRNA	mRNA
miR-15b-5p	CASR	Human	96	calcium sensing receptor	miRNA	mRNA
miR-15b-5p	MYLK	Human	96	myosin light chain kinase	miRNA	mRNA
miR-15b-5p	CCDC6	Human	96	coiled-coil domain containing 6	miRNA	mRNA
miR-15b-5p	NAPG	Human	96	NSF attachment protein gamma	miRNA	mRNA
miR-15b-5p	ZNF367	Human	96	zinc finger protein 367	miRNA	mRNA
miR-199a-3p	PAWR	Human	96	pro-apoptotic WT1 regulator	miRNA	mRNA
miR-199a-3p	CD2AP	Human	96	CD2 associated protein	miRNA	mRNA
miR-199a-3p	BCAR3	Human	96	BCAR3, NSP family adaptor protein	miRNA	mRNA
miR-199a-3p	GALNT7	Human	96	polypeptide N-acetylgalactosaminyltransferase 7	miRNA	mRNA
miR-199a-3p	CDNF	Human	96	cerebral dopamine neurotrophic factor	miRNA	mRNA
miR-199a-3p	PAK4	Human	96	p21 (RAC1) activated kinase 4	miRNA	mRNA
miR-199a-3p	CEP85L	Human	96	centrosomal protein 85 like	miRNA	mRNA
miR-214-3p	C17orf49	Human	96	chromosome 17 open reading frame 49	miRNA	mRNA
miR-214-3p	MAPK1	Human	96	mitogen-activated protein kinase 1	miRNA	mRNA
miR-214-3p	PGF	Human	96	placental growth factor	miRNA	mRNA
miR-214-3p	ATP2A3	Human	96	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	miRNA	mRNA
miR-214-3p	SNX12	Human	96	sorting nexin 12	miRNA	mRNA
miR-214-3p	VPS53	Human	96	VPS53, GARP complex subunit	miRNA	mRNA
miR-214-3p	PIM1	Human	96	Pim-1 proto-oncogene, serine/threonine kinase	miRNA	mRNA
miR-214-3p	CBL	Human	96	Cbl proto-oncogene	miRNA	mRNA
miR-214-3p	JPH1	Human	96	junctophilin 1	miRNA	mRNA
miR-214-3p	AKAP13	Human	96	A-kinase anchoring protein 13	miRNA	mRNA
miR-214-3p	HPSE2	Human	96	heparanase 2 (inactive)	miRNA	mRNA
miR-214-3p	BAZ2A	Human	96	bromodomain adjacent to zinc finger domain 2A	miRNA	mRNA
miR-214-5p	PPL	Human	96	periplakin	miRNA	mRNA
miR-29c-3p	HMCN1	Human	96	hemicentin 1	miRNA	mRNA
miR-29c-3p	PGAP2	Human	96	post-GPI attachment to proteins 2	miRNA	mRNA
miR-29c-3p	ABCE1	Human	96	ATP binding cassette subfamily E member 1	miRNA	mRNA
miR-29c-3p	ROBO1	Human	96	roundabout guidance receptor 1	miRNA	mRNA
miR-29c-3p	ADAMTS2	Human	96	ADAM metallopeptidase with thrombospondin type 1 motif 2	miRNA	mRNA
miR-29c-3p	ZNF282	Human	96	zinc finger protein 282	miRNA	mRNA
miR-29c-3p	CEP68	Human	96	centrosomal protein 68	miRNA	mRNA
miR-29c-3p	PXDN	Human	96	peroxidasin	miRNA	mRNA
miR-29c-3p	RAP1GDS1	Human	96	Rap1 GTPase-GDP dissociation stimulator 1	miRNA	mRNA
miR-29c-3p	AMER1	Human	96	APC membrane recruitment protein 1	miRNA	mRNA
miR-29c-3p	COL9A1	Human	96	collagen type IX alpha 1 chain	miRNA	mRNA
miR-29c-3p	RAB30	Human	96	RAB30, member RAS oncogene family	miRNA	mRNA
miR-29c-3p	VPS37C	Human	96	VPS37C, ESCRT-I subunit	miRNA	mRNA
miR-29c-3p	CHSY1	Human	96	chondroitin sulfate synthase 1	miRNA	mRNA
miR-29c-3p	RND3	Human	96	Rho family GTPase 3	miRNA	mRNA
miR-29c-3p	TRIM63	Human	96	tripartite motif containing 63	miRNA	mRNA
miR-29c-3p	REST	Human	96	RE1 silencing transcription factor	miRNA	mRNA
miR-29c-3p	PXYLP1	Human	96	2-phosphoxylose phosphatase 1	miRNA	mRNA
miR-29c-3p	ZNF346	Human	96	zinc finger protein 346	miRNA	mRNA
miR-29c-3p	DGKH	Human	96	diacylglycerol kinase eta	miRNA	mRNA
miR-29c-3p	TAF5	Human	96	TATA-box binding protein associated factor 5	miRNA	mRNA
miR-140-3p	SOBP	Human	95	sine oculis binding protein homolog	miRNA	mRNA
miR-140-3p	STAG2	Human	95	stromal antigen 2	miRNA	mRNA
miR-140-3p	GOPC	Human	95	golgi associated PDZ and coiled-coil motif containing	miRNA	mRNA
miR-140-3p	NDST1	Human	95	N-deacetylase and N-sulfotransferase 1	miRNA	mRNA
miR-140-3p	ETNK1	Human	95	ethanolamine kinase 1	miRNA	mRNA
miR-15b-5p	ZMAT3	Human	95	zinc finger matrin-type 3	miRNA	mRNA
miR-15b-5p	STXBP5	Human	95	syntaxin binding protein 5	miRNA	mRNA
miR-15b-5p	UBFD1	Human	95	ubiquitin family domain containing 1	miRNA	mRNA
miR-15b-5p	CHAC1	Human	95	ChaC glutathione specific gamma-glutamylcyclotransferase 1	miRNA	mRNA
miR-15b-5p	HIPK2	Human	95	homeodomain interacting protein kinase 2	miRNA	mRNA
miR-15b-5p	UBE4A	Human	95	ubiquitination factor E4A	miRNA	mRNA
miR-15b-5p	CEP55	Human	95	centrosomal protein 55	miRNA	mRNA
miR-15b-5p	MKX	Human	95	mohawk homeobox	miRNA	mRNA
miR-15b-5p	CBX2	Human	95	chromobox 2	miRNA	mRNA
miR-15b-5p	TNFSF13B	Human	95	TNF superfamily member 13b	miRNA	mRNA
miR-15b-5p	IPPK	Human	95	inositol-pentakisphosphate 2-kinase	miRNA	mRNA
miR-15b-5p	VEGFA	Human	95	vascular endothelial growth factor A	miRNA	mRNA
miR-15b-5p	SLC25A37	Human	95	solute carrier family 25 member 37	miRNA	mRNA
miR-15b-5p	ZBTB34	Human	95	zinc finger and BTB domain containing 34	miRNA	mRNA
miR-15b-5p	KIF5B	Human	95	kinesin family member 5B	miRNA	mRNA
miR-15b-5p	SETD3	Human	95	SET domain containing 3, actin histidine methyltransferase	miRNA	mRNA
miR-15b-5p	PAFAH1B2	Human	95	platelet activating factor acetylhydrolase 1b catalytic subunit 2	miRNA	mRNA
miR-15b-5p	MAP2K1	Human	95	mitogen-activated protein kinase kinase 1	miRNA	mRNA
miR-15b-5p	SMURF1	Human	95	SMAD specific E3 ubiquitin protein ligase 1	miRNA	mRNA
miR-15b-5p	GABARAPL1	Human	95	GABA type A receptor associated protein like 1	miRNA	mRNA
miR-15b-5p	USP25	Human	95	ubiquitin specific peptidase 25	miRNA	mRNA
miR-15b-5p	STXBP3	Human	95	syntaxin binding protein 3	miRNA	mRNA
miR-15b-5p	FGFR1	Human	95	fibroblast growth factor receptor 1	miRNA	mRNA
miR-15b-5p	MYBL1	Human	95	MYB proto-oncogene like 1	miRNA	mRNA
miR-15b-5p	GPATCH8	Human	95	G-patch domain containing 8	miRNA	mRNA
miR-15b-5p	CBX4	Human	95	chromobox 4	miRNA	mRNA
miR-193b-3p	ERBB4	Human	95	erb-b2 receptor tyrosine kinase 4	miRNA	mRNA
miR-193b-3p	ABI2	Human	95	abl interactor 2	miRNA	mRNA
miR-199a-3p	PHLPP2	Human	95	PH domain and leucine rich repeat protein phosphatase 2	miRNA	mRNA
miR-199a-3p	ITGB8	Human	95	integrin subunit beta 8	miRNA	mRNA
miR-199a-3p	PPP2R5E	Human	95	protein phosphatase 2 regulatory subunit B'epsilon	miRNA	mRNA
miR-199a-3p	MAP3K5	Human	95	mitogen-activated protein kinase kinase kinase 5	miRNA	mRNA
miR-199a-3p	ERBB4	Human	95	erb-b2 receptor tyrosine kinase 4	miRNA	mRNA
miR-199a-3p	TUBGCP3	Human	95	tubulin gamma complex associated protein 3	miRNA	mRNA
miR-199a-3p	SINHCAF	Human	95	SIN3-HDAC complex associated factor	miRNA	mRNA
miR-199a-3p	ASAP2	Human	95	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	miRNA	mRNA
miR-214-3p	MLLT10	Human	95	MLLT10, histone lysine methyltransferase DOT1L cofactor	miRNA	mRNA
miR-214-3p	TRA2B	Human	95	transformer 2 beta homolog	miRNA	mRNA
miR-214-3p	RUBCN	Human	95	rubicon autophagy regulator	miRNA	mRNA
miR-214-3p	RBM34	Human	95	RNA binding motif protein 34	miRNA	mRNA
miR-214-3p	HR	Human	95	HR, lysine demethylase and nuclear receptor corepressor	miRNA	mRNA
miR-214-3p	FBXO32	Human	95	F-box protein 32	miRNA	mRNA
miR-214-3p	SLC8A1	Human	95	solute carrier family 8 member A1	miRNA	mRNA
miR-214-3p	IRS1	Human	95	insulin receptor substrate 1	miRNA	mRNA
miR-214-3p	CTSS	Human	95	cathepsin S	miRNA	mRNA
miR-214-3p	PLAGL2	Human	95	PLAG1 like zinc finger 2	miRNA	mRNA
miR-29c-3p	SLC5A8	Human	95	solute carrier family 5 member 8	miRNA	mRNA
miR-29c-3p	HAPLN3	Human	95	hyaluronan and proteoglycan link protein 3	miRNA	mRNA
miR-29c-3p	DNMT3B	Human	95	DNA methyltransferase 3 beta	miRNA	mRNA
miR-29c-3p	TDG	Human	95	thymine DNA glycosylase	miRNA	mRNA
miR-29c-3p	LIF	Human	95	LIF, interleukin 6 family cytokine	miRNA	mRNA
miR-29c-3p	CDK6	Human	95	cyclin dependent kinase 6	miRNA	mRNA
miR-29c-3p	CLDN1	Human	95	claudin 1	miRNA	mRNA
miR-29c-3p	SGMS2	Human	95	sphingomyelin synthase 2	miRNA	mRNA
miR-29c-3p	PRR14L	Human	95	proline rich 14 like	miRNA	mRNA
miR-29c-3p	FAM241A	Human	95	family with sequence similarity 241 member A	miRNA	mRNA
miR-29c-3p	TRAF3	Human	95	TNF receptor associated factor 3	miRNA	mRNA
miR-29c-3p	ASAP2	Human	95	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	miRNA	mRNA
miR-29c-3p	PDIK1L	Human	95	PDLIM1 interacting kinase 1 like	miRNA	mRNA
miR-29c-3p	OSBPL11	Human	95	oxysterol binding protein like 11	miRNA	mRNA
miR-29c-3p	ZHX3	Human	95	zinc fingers and homeoboxes 3	miRNA	mRNA
miR-29c-3p	LYSMD1	Human	95	LysM domain containing 1	miRNA	mRNA
miR-140-3p	CXCL8	Human	94	C-X-C motif chemokine ligand 8	miRNA	mRNA
miR-140-3p	SGIP1	Human	94	SH3 domain GRB2 like endophilin interacting protein 1	miRNA	mRNA
miR-140-3p	CAND1	Human	94	cullin associated and neddylation dissociated 1	miRNA	mRNA
miR-140-3p	PCDH8	Human	94	protocadherin 8	miRNA	mRNA
